plat,model,sopir,hari,hard_brake,idle_minutes,overspeed,jarak_km,suhu_mesin,muatan_ton,tebal_rem_mm,kondisi_ban_pct,kondisi_aki_pct
AG 6390 AF,UD Quester CKE,Hadi Saputra,133,7,14,4,225.9,89.4,12.5,8.36,92.3,98.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,134,6,19,1,216.0,82.9,12.9,8.34,92.2,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,135,10,7,3,156.1,85.5,14.9,8.33,92.2,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,136,3,17,3,56.7,83.7,12.8,8.33,92.2,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,137,5,14,1,155.0,83.6,14.8,8.32,92.2,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,138,7,25,1,194.8,89.3,11.4,8.31,92.1,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,139,4,26,3,153.3,79.6,13.5,8.3,92.1,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,140,8,19,1,167.9,81.3,14.3,8.29,92.1,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,141,5,19,6,123.2,80.8,13.4,8.29,92.1,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,142,2,10,3,176.8,86.2,13.2,8.28,92.0,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,143,7,14,2,119.8,82.6,12.2,8.27,92.0,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,144,5,14,3,194.2,85.0,12.3,8.26,92.0,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,145,7,28,5,116.3,80.0,15.7,8.26,92.0,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,146,8,17,2,198.9,83.7,12.8,8.24,91.9,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,147,7,15,3,145.8,79.2,15.4,8.23,91.9,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,148,7,28,0,106.7,84.4,13.4,8.23,91.9,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,149,5,25,1,252.3,82.8,12.1,8.22,91.8,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,150,6,26,2,239.9,87.2,13.4,8.2,91.8,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,151,7,16,3,269.2,79.3,13.8,8.19,91.7,98.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,152,8,7,1,148.9,85.3,14.7,8.18,91.7,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,153,4,22,3,218.2,83.5,14.7,8.17,91.7,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,154,10,8,2,172.4,81.3,12.9,8.15,91.7,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,155,8,10,4,166.1,85.6,12.7,8.14,91.6,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,156,6,13,2,142.3,84.3,14.9,8.14,91.6,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,157,8,18,3,184.4,83.1,13.1,8.13,91.6,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,158,9,3,0,242.9,82.4,14.7,8.11,91.5,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,159,6,28,2,211.1,81.7,12.3,8.1,91.5,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,160,4,23,3,191.6,79.6,15.3,8.09,91.5,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,161,8,22,3,126.5,86.0,14.1,8.08,91.4,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,162,7,21,4,222.7,77.9,11.6,8.07,91.4,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,163,9,14,1,206.9,79.8,12.9,8.05,91.4,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,164,9,9,0,97.8,80.4,13.6,8.05,91.3,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,165,6,27,3,185.4,86.8,11.8,8.04,91.3,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,166,9,17,2,220.0,81.8,13.7,8.02,91.3,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,167,7,20,2,237.4,76.9,14.3,8.01,91.2,98.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,168,4,14,3,75.7,83.5,11.7,8.01,91.2,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,169,6,12,0,91.3,89.2,13.3,8.0,91.2,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,170,5,15,3,165.6,79.2,12.3,7.99,91.2,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,171,10,10,0,165.1,77.2,12.3,7.98,91.1,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,172,5,11,3,200.6,80.6,13.4,7.97,91.1,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,173,6,21,0,195.5,83.7,16.5,7.96,91.1,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,174,4,34,4,286.9,85.7,12.3,7.95,91.0,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,175,9,14,2,121.8,81.0,14.7,7.94,91.0,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,176,8,24,0,83.5,86.3,14.8,7.93,91.0,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,177,8,21,4,196.4,84.6,14.6,7.92,91.0,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,178,7,16,3,311.0,80.5,12.9,7.9,90.9,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,179,4,21,2,109.4,82.8,15.4,7.9,90.9,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,180,7,17,5,186.1,79.4,14.4,7.89,90.8,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,181,10,17,3,114.3,80.4,13.1,7.88,90.8,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,182,8,15,2,179.6,80.0,13.2,7.87,90.8,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,183,10,15,1,301.1,83.7,12.5,7.85,90.7,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,184,9,20,2,183.7,82.1,14.8,7.84,90.7,98.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,185,9,5,5,170.6,88.2,14.4,7.82,90.7,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,186,8,18,7,171.5,81.0,12.7,7.81,90.6,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,187,8,18,4,228.1,85.3,13.2,7.8,90.6,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,188,9,23,2,201.8,85.4,13.8,7.79,90.6,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,189,8,27,3,153.0,79.0,13.6,7.78,90.5,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,190,7,23,5,129.8,80.4,13.5,7.77,90.5,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,191,6,17,2,131.0,85.5,13.6,7.76,90.5,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,192,11,20,4,146.3,80.8,16.4,7.75,90.5,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,193,6,13,1,291.8,82.2,14.0,7.74,90.4,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,194,8,14,2,232.9,79.3,14.4,7.72,90.4,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,195,10,20,5,111.0,77.5,13.8,7.71,90.3,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,196,6,24,2,194.5,83.3,13.6,7.7,90.3,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,197,6,10,2,266.2,81.2,12.7,7.69,90.3,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,198,8,11,4,126.9,82.1,16.8,7.68,90.2,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,199,5,27,3,200.8,80.6,14.5,7.67,90.2,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,200,7,11,5,165.2,77.4,13.2,7.66,90.2,98.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,201,9,22,2,132.7,78.9,13.5,7.65,90.2,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,202,8,23,2,176.6,82.2,13.7,7.64,90.1,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,203,7,24,3,192.4,82.9,12.3,7.63,90.1,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,204,8,14,3,174.9,88.0,11.9,7.62,90.1,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,205,1,20,2,195.3,79.3,16.0,7.61,90.0,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,206,7,14,5,232.6,87.2,13.3,7.6,90.0,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,207,8,15,1,208.3,81.9,16.4,7.58,89.9,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,208,9,30,0,290.7,75.9,11.9,7.57,89.9,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,209,4,20,2,230.1,82.7,15.1,7.55,89.9,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,210,6,26,2,316.0,85.6,13.1,7.54,89.8,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,211,7,12,3,169.7,85.2,11.8,7.53,89.8,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,212,7,11,1,219.7,86.4,10.5,7.52,89.7,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,213,11,27,0,231.9,81.6,13.4,7.5,89.7,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,214,9,21,2,154.7,81.5,15.0,7.49,89.7,97.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,215,4,17,5,225.1,86.2,13.3,7.48,89.6,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,216,5,19,1,309.1,82.5,14.3,7.46,89.6,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,217,11,12,0,213.4,85.0,13.0,7.45,89.5,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,218,5,20,2,204.1,79.6,13.9,7.44,89.5,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,219,9,9,5,200.4,85.6,11.8,7.42,89.5,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,220,9,8,1,200.9,82.2,13.5,7.41,89.4,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,221,11,18,4,182.7,82.7,12.2,7.4,89.4,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,222,8,33,3,171.7,86.4,14.8,7.39,89.4,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,223,8,16,4,193.1,85.8,12.4,7.38,89.3,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,224,6,19,1,166.1,79.2,11.5,7.37,89.3,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,225,12,15,2,190.8,79.8,12.8,7.35,89.3,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,226,11,20,4,273.0,83.6,13.2,7.33,89.2,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,227,5,16,2,142.0,87.6,14.9,7.33,89.2,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,228,9,18,1,259.5,84.0,14.5,7.31,89.2,97.8
AG 6390 AF,UD Quester CKE,Hadi Saputra,229,9,20,6,150.3,82.1,15.6,7.3,89.1,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,230,8,18,2,223.8,82.3,13.1,7.29,89.1,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,231,9,19,1,188.2,87.2,14.5,7.27,89.1,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,232,11,14,4,150.7,79.3,12.5,7.26,89.0,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,233,8,24,3,178.0,79.9,14.4,7.25,89.0,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,234,9,20,1,230.9,86.7,15.5,7.24,89.0,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,235,7,21,2,135.7,87.8,14.2,7.23,88.9,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,236,10,11,3,214.4,80.5,15.4,7.21,88.9,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,237,7,21,2,120.7,85.7,14.0,7.21,88.9,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,238,8,17,3,256.1,81.0,14.2,7.19,88.8,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,239,8,17,0,185.8,85.0,13.9,7.18,88.8,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,240,5,26,5,180.4,89.9,12.4,7.17,88.8,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,241,5,12,3,88.6,82.1,17.3,7.17,88.8,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,242,5,15,1,170.7,82.0,12.6,7.16,88.7,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,243,7,22,5,170.8,83.0,14.1,7.15,88.7,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,244,5,17,2,238.8,88.3,12.5,7.13,88.6,97.7
AG 6390 AF,UD Quester CKE,Hadi Saputra,245,10,10,3,200.7,78.6,12.4,7.12,88.6,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,246,6,10,0,175.0,82.7,13.4,7.11,88.6,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,247,9,7,2,327.2,85.7,14.7,7.09,88.5,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,248,5,17,0,218.6,87.2,11.6,7.08,88.5,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,249,5,18,3,156.6,80.6,12.5,7.07,88.5,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,250,7,22,2,178.4,77.7,14.6,7.06,88.4,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,251,7,16,3,140.0,81.8,13.6,7.05,88.4,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,252,6,8,0,210.9,82.9,13.4,7.04,88.4,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,253,5,18,2,153.4,82.8,13.9,7.03,88.4,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,254,11,22,4,247.2,80.7,13.1,7.02,88.3,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,255,6,14,2,147.6,83.7,14.1,7.01,88.3,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,256,5,16,2,105.4,80.7,14.6,7.0,88.3,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,257,9,8,3,105.5,81.8,13.4,6.99,88.2,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,258,9,17,1,121.3,83.5,12.7,6.99,88.2,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,259,7,24,3,273.7,80.0,12.6,6.97,88.2,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,260,8,29,1,188.5,87.0,13.6,6.96,88.1,97.6
AG 6390 AF,UD Quester CKE,Hadi Saputra,261,10,30,3,211.6,85.2,12.3,6.95,88.1,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,262,5,19,2,244.3,84.0,14.8,6.93,88.1,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,263,5,24,0,124.8,84.9,12.8,6.93,88.0,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,264,7,19,5,80.7,86.8,15.2,6.92,88.0,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,265,7,14,2,147.0,84.0,14.1,6.91,88.0,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,266,4,13,1,198.2,85.6,12.1,6.9,88.0,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,267,9,13,4,170.8,81.7,15.0,6.89,87.9,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,268,11,7,3,196.2,85.0,11.6,6.88,87.9,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,269,5,14,3,146.1,82.0,14.6,6.87,87.9,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,270,12,23,4,176.4,80.3,13.1,6.86,87.8,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,271,7,11,4,270.0,83.4,14.9,6.84,87.8,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,272,10,12,0,159.0,83.3,11.9,6.83,87.8,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,273,10,30,3,132.4,84.5,12.2,6.82,87.7,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,274,10,17,4,236.0,84.6,15.8,6.81,87.7,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,275,8,15,0,60.8,85.0,13.3,6.8,87.7,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,276,6,12,4,132.3,87.9,16.6,6.79,87.7,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,277,6,22,3,132.1,80.1,13.3,6.79,87.6,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,278,5,25,2,124.8,82.7,14.1,6.78,87.6,97.5
AG 6390 AF,UD Quester CKE,Hadi Saputra,279,6,6,3,119.5,80.6,14.1,6.77,87.6,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,280,6,17,5,167.1,89.1,14.5,6.76,87.6,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,281,6,15,1,221.5,87.0,13.0,6.75,87.5,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,282,4,20,1,147.3,83.9,15.1,6.75,87.5,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,283,9,21,2,113.8,84.1,14.4,6.74,87.5,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,284,6,16,4,164.8,82.2,13.4,6.73,87.5,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,285,9,20,3,269.9,81.8,12.3,6.71,87.4,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,286,10,20,2,166.6,79.2,13.8,6.7,87.4,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,287,5,22,2,109.7,86.3,16.4,6.69,87.4,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,288,8,17,1,200.8,84.9,13.5,6.68,87.3,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,289,9,27,1,202.6,77.3,12.4,6.67,87.3,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,290,9,18,0,244.2,81.4,14.6,6.65,87.3,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,291,9,13,4,203.9,83.5,12.9,6.64,87.2,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,292,5,16,2,233.3,78.1,15.4,6.63,87.2,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,293,11,14,5,131.1,86.4,12.4,6.62,87.1,97.4
AG 6390 AF,UD Quester CKE,Hadi Saputra,294,10,10,4,257.3,78.6,15.8,6.6,87.1,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,295,10,6,2,243.5,85.2,13.6,6.58,87.1,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,296,9,13,3,139.9,83.4,14.8,6.58,87.0,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,297,9,20,4,246.3,88.4,15.0,6.56,87.0,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,298,9,24,3,171.0,85.6,14.5,6.55,87.0,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,299,8,17,2,163.9,86.8,15.0,6.54,86.9,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,300,10,12,2,172.3,81.2,15.9,6.53,86.9,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,301,8,20,2,233.8,89.6,13.6,6.51,86.9,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,302,7,18,2,186.3,81.2,12.3,6.5,86.8,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,303,7,19,2,266.5,84.3,14.5,6.49,86.8,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,304,9,19,3,139.1,85.0,13.1,6.48,86.7,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,305,6,26,1,281.0,87.9,13.2,6.46,86.7,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,306,11,13,4,187.3,77.6,12.7,6.45,86.7,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,307,7,23,2,171.4,84.6,14.1,6.44,86.6,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,308,7,16,4,169.4,79.4,13.0,6.43,86.6,97.3
AG 6390 AF,UD Quester CKE,Hadi Saputra,309,9,17,2,117.4,82.6,13.8,6.42,86.6,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,310,6,17,1,179.3,88.2,13.7,6.41,86.6,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,311,4,20,4,110.3,79.9,13.8,6.4,86.5,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,312,7,26,2,231.8,87.6,12.4,6.39,86.5,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,313,9,16,0,212.6,84.8,11.5,6.38,86.5,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,314,7,15,4,101.2,83.3,10.5,6.37,86.4,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,315,8,19,2,265.0,75.1,13.5,6.36,86.4,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,316,10,19,5,161.6,82.5,15.1,6.35,86.4,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,317,9,33,3,197.4,81.6,13.2,6.33,86.3,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,318,10,18,1,165.7,82.7,12.5,6.32,86.3,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,319,7,12,2,250.6,83.2,16.7,6.31,86.3,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,320,6,21,3,222.2,81.2,13.0,6.29,86.2,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,321,8,15,0,258.5,85.7,13.0,6.28,86.2,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,322,8,24,5,192.1,81.3,15.4,6.27,86.1,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,323,8,17,3,249.9,82.9,14.8,6.25,86.1,97.2
AG 6390 AF,UD Quester CKE,Hadi Saputra,324,7,22,1,245.2,81.0,14.1,6.24,86.1,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,325,5,18,3,148.9,82.7,13.8,6.23,86.0,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,326,9,19,5,250.1,82.9,11.8,6.21,86.0,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,327,7,5,2,263.5,85.4,13.6,6.2,85.9,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,328,6,19,6,268.2,82.6,11.6,6.18,85.9,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,329,12,14,3,100.7,82.0,11.5,6.18,85.9,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,330,5,13,3,181.1,91.1,15.0,6.17,85.8,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,331,10,21,3,251.8,75.9,12.7,6.15,85.8,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,332,5,7,1,123.3,86.6,13.6,6.14,85.8,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,333,4,20,1,189.8,84.2,12.5,6.13,85.7,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,334,8,21,2,146.8,83.0,13.3,6.12,85.7,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,335,8,17,1,177.1,84.0,13.7,6.11,85.7,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,336,7,15,2,162.5,86.2,12.3,6.1,85.7,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,337,8,11,4,156.9,80.5,13.8,6.1,85.6,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,338,3,10,3,242.2,84.4,13.7,6.08,85.6,97.1
AG 6390 AF,UD Quester CKE,Hadi Saputra,339,12,21,1,242.8,81.1,12.6,6.07,85.5,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,340,5,16,1,217.1,82.6,11.7,6.06,85.5,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,341,7,24,5,88.0,80.7,11.8,6.05,85.5,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,342,8,10,4,252.6,85.5,12.6,6.04,85.4,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,343,6,16,4,93.0,84.2,12.3,6.03,85.4,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,344,7,23,0,171.1,82.6,13.5,6.02,85.4,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,345,7,22,2,206.5,84.0,13.9,6.01,85.4,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,346,9,20,2,116.6,87.1,15.7,6.0,85.3,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,347,7,21,2,146.8,83.2,17.1,5.99,85.3,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,348,11,27,3,136.0,86.1,9.8,5.98,85.3,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,349,8,25,3,277.7,78.7,15.6,5.96,85.2,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,350,7,27,4,269.7,85.9,14.4,5.95,85.2,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,351,10,19,3,186.2,81.0,14.2,5.94,85.2,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,352,8,26,2,144.6,86.7,13.6,5.93,85.1,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,353,6,27,4,288.1,82.0,12.9,5.91,85.1,97.0
AG 6390 AF,UD Quester CKE,Hadi Saputra,354,5,15,2,224.0,80.2,12.6,5.9,85.0,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,355,11,1,3,115.4,80.6,15.4,5.89,85.0,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,356,8,34,3,140.8,84.7,15.0,5.88,85.0,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,357,9,17,0,168.7,88.0,12.5,5.87,85.0,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,358,7,24,3,114.4,82.7,15.3,5.87,84.9,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,359,8,27,5,135.4,82.1,14.4,5.86,84.9,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,360,4,17,3,152.2,84.8,12.7,5.85,84.9,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,361,6,23,5,147.3,79.4,13.5,5.84,84.9,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,362,8,14,5,178.3,80.8,16.0,5.83,84.8,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,363,10,14,4,150.3,85.3,15.8,5.82,84.8,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,364,5,15,2,201.0,84.4,13.4,5.81,84.8,96.9
AG 6390 AF,UD Quester CKE,Hadi Saputra,365,4,11,1,217.2,78.8,12.3,5.8,84.7,96.9
DA 1466 BG,UD Quester CKE,Joko Susilo,1,14,25,4,291.2,84.8,7.3,9.78,96.7,97.7
DA 1466 BG,UD Quester CKE,Joko Susilo,2,8,18,3,306.9,92.2,8.7,9.76,96.6,97.7
